name,biography,first_sentence
Henry Ford,"Henry Ford (July 30, 1863 – April 7, 1947) was an American industrialist and business magnate. He was the founder of Ford Motor Company, and chief developer of the assembly line technique of mass production. Ford created the first automobile that was affordable by middle-class Americans. His conversion of the automobile from an expensive luxury into an accessible conveyance profoundly affected many aspects of life in the 20th century.

Ford was born on a farm in Michigan's Springwells Township, leaving home at age 16 to work in Detroit. It was a few years before this time that Ford first experienced automobiles, and throughout the later half of the 1880s, Ford began repairing and later constructing engines, and through the 1890s worked with a division of Edison Electric. He officially founded Ford Motor Company in 1903, after prior failures in business but success in constructing automobiles.

Ford's 1908 introduction of the Model T automobile revolutionized both transportation and American industry. As the Ford Motor Company sole owner, he became one of the richest and best-known people in the world. He is credited with ""Fordism"", the mass production of inexpensive goods coupled with high wages for workers. Ford was also among the pioneers of the five-day workweek. Ford believed that consumerism was a key to global peace. His commitment to systematically lowering costs resulted in many technical and business innovations, including a franchise system that put dealerships throughout North America and major cities on six continents.

In 1911, he was awarded a patent for the transmission mechanism that would be used in the Model T and other automobiles.

Ford was known for his pacifism during the first years of World War I, although during the war his company became a major supplier of weapons. He promoted the League of Nations. In the 1920s Ford promoted antisemitism through his newspaper The Dearborn Independent and the book The International Jew. He opposed United States entry into World War II, and served for a time on the America First Committee board. After his son Edsel died in 1943, Ford resumed control of the company but was too frail to make decisions and quickly came under the control of subordinates. He turned over the company to his grandson Henry Ford II in 1945. He died in 1947 after leaving most of his wealth to the Ford Foundation, and control of the company to his family.","Henry Ford (July 30, 1863 – April 7, 1947) was an American industrialist and business magnate."
Haile Selassie,"Haile Selassie I (Ge'ez: ቀዳማዊ ኀይለ ሥላሴ, romanized: Qädamawi Häylä Səllasé,[nb 2] Amharic pronunciation: [kʼədäˈmäwi ˈhäjlə sɨlˈläse] ⓘ;[nb 3] born Lij Tafari Makonnen; 23 July 1892 – 27 August 1975)[4] was Emperor of Ethiopia from 1930 to 1974. He rose to power as Regent Plenipotentiary of Ethiopia (Enderase) for Empress Zewditu from 1916. Haile Selassie is widely considered a defining figure in modern Ethiopian history, and the key figure of Rastafari, a religious movement in Jamaica that emerged shortly after he became emperor in the 1930s. Before he rose to power he defeated Ras Gugsa Wole Bitul (Nephew of Empress Taitu) of Begemidr (present Gondar) at the Battle of Anchem in 1928.[5][6] He was a member of the Solomonic dynasty, which claims to trace lineage to Emperor Menelik I, believed to be the son of King Solomon and Makeda, the Queen of Sheba.

Haile Selassie attempted to modernise the country through a series of political and social reforms, including the introduction of the 1931 constitution, its first written constitution, and the abolition of slavery. He led the failed efforts to defend Ethiopia during the Second Italo-Ethiopian War and spent most of the period of Italian occupation exiled in England. In 1940, he traveled to Sudan in order to assist in coordinating the anti-fascist struggle in Ethiopia and returned to his home country in 1941 after the East African campaign. He dissolved the Federation of Ethiopia and Eritrea, which was established by the UN General Assembly in 1950, and annexed Eritrea into Ethiopia as one of its provinces, while fighting to prevent secession.[7]

Haile Selassie's internationalist views led to Ethiopia becoming a charter member of the United Nations.[8] In 1963, he presided over the formation of the Organisation of African Unity, the precursor of the African Union and served as its first chairman. In 1974, he was overthrown in a military coup by a Marxist–Leninist junta, the Derg. Haile Selassie was assassinated on 27 August 1975.[9][10]

Among some members of the Rastafari movement, Haile Selassie is referred to as the returned messiah of the Bible, God incarnate. This distinction notwithstanding, he was a Christian and adhered to the tenets and liturgy of the Ethiopian Orthodox Church.[11][12]

He has been criticised by some historians for his suppression of rebellions among the landed aristocracy (the mesafint), which consistently opposed his reforms; some critics have also criticised Ethiopia's failure to modernise rapidly enough.[13][14] During his rule the Harari people were persecuted and many left the Harari Region.[15][16] His regime was also criticised by human rights groups, such as Human Rights Watch, as autocratic and illiberal.[14][17] Although some sources state that late during his regime the Oromo language was banned from education, public speaking and use in administration,[18][19][20] there was never an official law or government policy that criminalised any language.[21][22][23] The Haile Selassie government relocated numerous Amharas into southern Ethiopia where they served in government administration, courts, and church.[24][25][26] Following the death of Hachalu Hundessa in June 2020, the Statue of Haile Selassie in Cannizaro Park, London was destroyed by Oromo protesters, and his father's equestrian monument in Harar was removed.[27][28][29]","Haile Selassie I (Ge'ez: ቀዳማዊ ኀይለ ሥላሴ, romanized: Qädamawi Häylä Səllasé,[nb 2] Amharic pronunciation: [kʼədäˈmäwi ˈhäjlə sɨlˈläse] ⓘ;[nb 3] born Lij Tafari Makonnen; 23 July 1892 – 27 August 1975)[4] was Emperor of Ethiopia from 1930 to 1974."
Joseph Stalin,"Joseph Vissarionovich Stalin[g] (born Ioseb Besarionis dze Jughashvili;[d] 18 December [O.S. 6 December] 1878 – 5 March 1953) was a Soviet revolutionary and politician who was the leader of the Soviet Union from 1924 until his death in 1953. He held power as General Secretary of the Communist Party of the Soviet Union (1922–1952) and Chairman of the Council of Ministers of the Soviet Union (1941–1953). Initially governing the country as part of a collective leadership, he consolidated power to become a dictator by the 1930s. Ideologically adhering to the Leninist interpretation of Marxism, he formalised these ideas as Marxism–Leninism, while his own policies are called Stalinism.

Born to a poor family in Gori in the Russian Empire (now Georgia), Stalin attended the Tbilisi Spiritual Seminary before joining the Marxist Russian Social Democratic Labour Party. He edited the party's newspaper, Pravda, and raised funds for Vladimir Lenin's Bolshevik faction via robberies, kidnappings and protection rackets. Repeatedly arrested, he underwent several internal exiles to Siberia. After the Bolsheviks seized power in the October Revolution and created a one-party state under the new Communist Party in 1917, Stalin joined its governing Politburo. Serving in the Russian Civil War before overseeing the Soviet Union's establishment in 1922, Stalin assumed leadership over the country following Lenin's death in 1924. Under Stalin, socialism in one country became a central tenet of the party's ideology. As a result of his Five-Year Plans, the country underwent agricultural collectivisation and rapid industrialisation, creating a centralised command economy. Severe disruptions to food production contributed to the famine of 1930–33, including the Asharshylyk in Kazakhstan and the Holodomor in Ukraine. To eradicate accused ""enemies of the working class"", Stalin instituted the Great Purge, in which over a million were imprisoned, largely in the Gulag system of forced labour camps, and at least 700,000 executed between 1934 and 1939. By 1937, he had absolute control over the party and government.

Stalin promoted Marxism–Leninism abroad through the Communist International and supported European anti-fascist movements during the 1930s, particularly in the Spanish Civil War. In 1939, his regime signed a non-aggression pact with Nazi Germany, resulting in the Soviet invasion of Poland. Germany ended the pact by invading the Soviet Union in 1941. Despite initial catastrophes, the Soviet Red Army repelled the German invasion and captured Berlin in 1945, ending World War II in Europe. Amid the war, the Soviets annexed the Baltic states and Bessarabia and North Bukovina, subsequently establishing Soviet-aligned governments throughout Central and Eastern Europe and in parts of East Asia. The Soviet Union and the United States emerged as global superpowers and entered a period of tension, the Cold War. Stalin presided over the Soviet post-war reconstruction and its development of an atomic bomb in 1949. During these years, the country experienced another major famine and an antisemitic campaign that culminated in the doctors' plot. After Stalin's death in 1953, he was eventually succeeded by Nikita Khrushchev, who subsequently denounced his rule and initiated the de-Stalinisation of Soviet society.

Widely considered to be one of the 20th century's most significant figures, Stalin was the subject of a pervasive personality cult within the international Marxist–Leninist movement, which revered him as a champion of the working class and socialism. Since the dissolution of the Soviet Union in 1991, Stalin has retained popularity in Russia and Georgia as a victorious wartime leader who cemented the Soviet Union's status as a leading world power. Conversely, his totalitarian regime has been widely condemned for overseeing mass repression, ethnic cleansing, wide-scale deportation, hundreds of thousands of executions, and famines that killed millions.",Joseph Vissarionovich Stalin[g] (born Ioseb Besarionis dze Jughashvili;[d] 18 December [O.
Lord Baden Powell,"Lieutenant-General Robert Stephenson Smyth Baden-Powell, 1st Baron Baden-Powell, OM, GCMG, GCVO, KCB, KStJ, DL (/ˈbeɪdən ˈpoʊəl/ BAY-dən POH-əl;[4] 22 February 1857 – 8 January 1941) was a British Army officer, writer, founder and first Chief Scout of the world-wide Scout Movement, and founder, with his sister Agnes, of the world-wide Girl Guide/Girl Scout Movement. Baden-Powell authored the first editions of the seminal work Scouting for Boys, which was an inspiration for the Scout Movement.[5]

Educated at Charterhouse School, Baden-Powell served in the British Army from 1876 until 1910 in India and Africa.[6] In 1899, during the Second Boer War in South Africa, Baden-Powell successfully defended the town in the Siege of Mafeking.[7] Several of his books, written for military reconnaissance and scout training in his African years, were also read by boys. In August 1907, he held a demonstration camp, the Brownsea Island Scout camp, which is now seen as the beginning of Scouting.[8] Based on his earlier books, particularly Aids to Scouting, he wrote Scouting for Boys,[9] published in 1908 by Sir Arthur Pearson, for boy readership. In 1910 Baden-Powell retired from the army and formed The Scout Association.

The first Scout Rally was held at The Crystal Palace in 1909. Girls in Scout uniform attended, telling Baden-Powell that they were the ""Girl Scouts"". In 1910, Baden-Powell and his sister Agnes Baden-Powell started the Girl Guide and Girl Scout organisation. In 1912 he married Olave St Clair Soames. He gave guidance to the Scout and Girl Guide movements until retiring in 1937. Baden-Powell lived his last years in Nyeri, Kenya, where he died and was buried in 1941. His grave is a national monument.[10]

","Lieutenant-General Robert Stephenson Smyth Baden-Powell, 1st Baron Baden-Powell, OM, GCMG, GCVO, KCB, KStJ, DL (/ˈbeɪdən ˈpoʊəl/ BAY-dən POH-əl;[4] 22 February 1857 – 8 January 1941) was a British Army officer, writer, founder and first Chief Scout of the world-wide Scout Movement, and founder, with his sister Agnes, of the world-wide Girl Guide/Girl Scout Movement."
Michael Jordan,"Michael Jeffrey Jordan (born February 17, 1963), also known by his initials MJ,[9] is an American businessman and former professional basketball player. His profile on the official National Basketball Association (NBA) website states that ""by acclamation, Michael Jordan is the greatest basketball player of all time.""[10] He played fifteen seasons in the NBA, winning six NBA championships with the Chicago Bulls. He was integral in popularizing the sport of basketball and the NBA around the world in the 1980s and 1990s,[11] becoming a global cultural icon.[12]

Jordan played college basketball for three seasons under coach Dean Smith with the North Carolina Tar Heels. As a freshman, he was a member of the Tar Heels' national championship team in 1982.[5] Jordan joined the Bulls in 1984 as the third overall draft pick[5][13] and quickly emerged as a league star, entertaining crowds with his prolific scoring while gaining a reputation as one of the game's best defensive players.[14] His leaping ability, demonstrated by performing slam dunks from the free-throw line in Slam Dunk Contests, earned him the nicknames ""Air Jordan"" and ""His Airness"".[5][13] Jordan won his first NBA title with the Bulls in 1991 and followed that achievement with titles in 1992 and 1993, securing a three-peat. Jordan abruptly retired from basketball before the 1993–94 NBA season to play Minor League Baseball but returned to the Bulls in March 1995 and led them to three more championships in 1996, 1997, and 1998, as well as a then-record 72 regular season wins in the 1995–96 NBA season.[5] He retired for the second time in January 1999 but returned for two more NBA seasons from 2001 to 2003 as a member of the Washington Wizards.[5][13] During his professional career, he was also selected to play for the United States national team, winning four gold medals—at the 1983 Pan American Games, 1984 Summer Olympics, 1992 Tournament of the Americas and 1992 Summer Olympics—while also being undefeated.[15]

Jordan's individual accolades and accomplishments include six NBA Finals Most Valuable Player (MVP) awards, ten NBA scoring titles (both all-time records), five NBA MVP awards, ten All-NBA First Team designations, nine All-Defensive First Team honors, fourteen NBA All-Star Game selections, three NBA All-Star Game MVP awards, three NBA steals titles, and the 1988 NBA Defensive Player of the Year Award.[13] He holds the NBA records for career regular season scoring average (30.1 points per game) and career playoff scoring average (33.4 points per game).[16] In 1999, he was named the 20th century's greatest North American athlete by ESPN and was second to Babe Ruth on the Associated Press' list of athletes of the century.[5] Jordan was twice inducted into the Naismith Memorial Basketball Hall of Fame, once in 2009 for his individual career,[17] and again in 2010 as part of the 1992 United States men's Olympic basketball team (""The Dream Team"").[18] He became a member of the United States Olympic Hall of Fame in 2009,[19] a member of the North Carolina Sports Hall of Fame in 2010,[20] and an individual member of the FIBA Hall of Fame in 2015 and a ""Dream Team"" member in 2017.[21][22] Jordan was honoured in being named to the NBA 50th Anniversary Team in 1996 and to the NBA 75th Anniversary Team in 2021.[23]

One of the most effectively marketed athletes of his generation, Jordan made many product endorsements.[11][24] He fueled the success of Nike's Air Jordan sneakers, which were introduced in 1984 and remain popular.[25] He starred as himself in the live-action/animation hybrid film Space Jam (1996) and was the central focus of the Emmy-winning documentary series The Last Dance (2020). He became part-owner and head of basketball operations for the Charlotte Hornets (then named the Bobcats) in 2006 and bought a controlling interest in 2010, before selling his majority stake in 2023. He is also the owner of 23XI Racing in the NASCAR Cup Series. In 2016, he became the first billionaire player in NBA history.[26] That year, President Barack Obama awarded him the Presidential Medal of Freedom.[27] As of 2023, his net worth is estimated at $3 billion by Forbes.[28]","Michael Jeffrey Jordan (born February 17, 1963), also known by his initials MJ,[9] is an American businessman and former professional basketball player."
Vladimir Lenin,"Vladimir Ilyich Ulyanov[b] (22 April [O.S. 10 April] 1870 – 21 January 1924), better known as Vladimir Lenin,[c] was a Russian revolutionary, politician, and political theorist. He served as the first and founding head of government of Soviet Russia from 1917 to 1924 and of the Soviet Union from 1922 to 1924. Under his administration, Russia, and later the Soviet Union, became a one-party socialist state governed by the Communist Party. Ideologically a Marxist, his developments to the ideology are called Leninism.

Born to an upper-middle-class family in Simbirsk, Lenin embraced revolutionary socialist politics following his brother's 1887 execution. Expelled from Kazan Imperial University for participating in protests against the Russian Empire's Tsarist government, he devoted the following years to a law degree. He moved to Saint Petersburg in 1893 and became a senior Marxist activist. In 1897, he was arrested for sedition and exiled to Shushenskoye in Siberia for three years, where he married Nadezhda Krupskaya. After his exile, he moved to Western Europe, where he became a prominent theorist in the Marxist Russian Social Democratic Labour Party (RSDLP). In 1903, he took a key role in the RSDLP ideological split, leading the Bolshevik faction against Julius Martov's Mensheviks. Following Russia's failed Revolution of 1905, he campaigned for the First World War to be transformed into a Europe-wide proletarian revolution, which, as a Marxist, he believed would cause the overthrow of capitalism and the rise of socialism. After the 1917 February Revolution ousted the Tsar and established a Provisional Government, he returned to Russia and played a leading role in the October Revolution, in which the Bolsheviks overthrew the new regime.

Lenin's Bolshevik government initially shared power with the Left Socialist Revolutionaries, elected soviets, and a multi-party Constituent Assembly, although by 1918 it had centralised power in the new Communist Party. Lenin's administration redistributed land among the peasantry and nationalised banks and large-scale industry. It withdrew from the First World War by signing a treaty conceding territory to the Central Powers, and promoted world revolution through the Communist International. Opponents were suppressed in the Red Terror, a violent campaign administered by the state security services; tens of thousands were killed or interned in concentration camps. His administration defeated right and left-wing anti-Bolshevik armies in the Russian Civil War from 1917 to 1922 and oversaw the Polish–Soviet War of 1919–1921. Responding to wartime devastation, famine, and popular uprisings, in 1921 Lenin encouraged economic growth through the New Economic Policy. Several non-Russian nations had secured independence from the Russian Republic after 1917, but five were forcibly re-united into the new Soviet Union in 1922, while others repelled Soviet invasions. His health failing, Lenin died in Gorki, with Joseph Stalin succeeding him as the pre-eminent figure in the Soviet government.

Widely considered one of the most significant and influential figures of the 20th century, Lenin was the posthumous subject of a pervasive personality cult within the Soviet Union until its dissolution in 1991. He became an ideological figurehead behind Marxism–Leninism and a prominent influence over the international communist movement. A controversial and highly divisive historical figure, Lenin is viewed by his supporters as a champion of socialism, communism, anti-imperialism and the working class, while his critics accuse him of establishing a totalitarian dictatorship which oversaw mass killings and political repression of dissidents.",Vladimir Ilyich Ulyanov[b] (22 April [O.
Ingrid Bergman,"Ingrid Bergman[a] (29 August 1915 – 29 August 1982) was a Swedish actress.[1] With a career spanning five decades,[2] Bergman is often regarded as one of the most influential screen figures in cinematic history.[3] She won numerous accolades, including three Academy Awards, two Primetime Emmy Awards, a Tony Award, four Golden Globe Awards, BAFTA Award and a Volpi Cup. She is one of only four actresses to have received at least three acting Academy Awards (only Katharine Hepburn has four). In 1999, the American Film Institute recognised Bergman as the fourth greatest female screen legend of Classic Hollywood Cinema.[4]

Born in Stockholm to a Swedish father and a German mother, Bergman began her acting career in Swedish and German films. Her introduction to the U.S. audience came in the English-language remake of Intermezzo (1939). Known for her naturally luminous beauty, she starred in Casablanca (1942) as Ilsa Lund. Bergman's notable performances in the 1940s include the dramas For Whom the Bell Tolls (1943), Gaslight (1944), The Bells of St. Mary's (1945), and Joan of Arc (1948), all of which earned her nominations for the Academy Award for Best Actress; she won for Gaslight. She made three films with Alfred Hitchcock: Spellbound (1945), Notorious (1946), and Under Capricorn (1949).

In 1950, she starred in Roberto Rossellini's Stromboli, released after the revelation that she was having an affair with Rossellini; that and her pregnancy prior to their marriage created a scandal in the U.S. that prompted her to remain in Europe for several years. During this time she starred in Rossellini's Europa '51 and Journey to Italy (1954), the former of which won her the Volpi Cup for Best Actress. She returned to Hollywood, earning two more Academy Awards for her roles in Anastasia (1956) and Murder on the Orient Express (1974). During this period she also starred in Indiscreet (1958), Cactus Flower (1969), and Autumn Sonata (1978) receiving her sixth Best Actress nomination.

Bergman won the Tony Award for Best Actress in a Play for the Maxwell Anderson play Joan of Lorraine (1947). She also won two Primetime Emmy Award for Outstanding Lead Actress in a Limited Series or Movie for The Turn of the Screw (1960), and A Woman Called Golda (1982). In 1974, Bergman discovered she was suffering from breast cancer but continued to work until shortly before her death on her sixty-seventh birthday in 1982. Bergman spoke five languages – Swedish, English, German, Italian and French – and acted in each.[5]",Ingrid Bergman[a] (29 August 1915 – 29 August 1982) was a Swedish actress.
Fidel Castro,"Fidel Alejandro Castro Ruz (/ˈkæstroʊ/ KASS-troh,[1] Latin American Spanish: [fiˈðel aleˈxandɾo ˈkastɾo ˈrus]; 13 August 1926 – 25 November 2016) was a Cuban revolutionary and politician who was the leader of Cuba from 1959 to 2008, serving as the prime minister of Cuba from 1959 to 1976 and president from 1976 to 2008. Ideologically a Marxist–Leninist and Cuban nationalist, he also served as the first secretary of the Communist Party of Cuba from 1965 until 2011. Under his administration, Cuba became a one-party communist state; industry and business were nationalized, and socialist reforms were implemented throughout society.

Born in Birán, the son of a wealthy Spanish farmer, Castro adopted leftist and anti-imperialist ideas while studying law at the University of Havana. After participating in rebellions against right-wing governments in the Dominican Republic and Colombia, he planned the overthrow of Cuban president Fulgencio Batista, launching a failed attack on the Moncada Barracks in 1953. After a year's imprisonment, Castro travelled to Mexico where he formed a revolutionary group, the 26th of July Movement, with his brother Raúl Castro and Ernesto ""Che"" Guevara. Returning to Cuba, Castro took a key role in the Cuban Revolution by leading the Movement in a guerrilla war against Batista's forces from the Sierra Maestra. After Batista's overthrow in 1959, Castro assumed military and political power as Cuba's prime minister. The United States came to oppose Castro's government and unsuccessfully attempted to remove him by assassination, economic embargo, and counter-revolution, including the Bay of Pigs Invasion of 1961. Countering these threats, Castro aligned with the Soviet Union and allowed the Soviets to place nuclear weapons in Cuba, resulting in the Cuban Missile Crisis—a defining incident of the Cold War—in 1962.

Adopting a Marxist–Leninist model of development, Castro converted Cuba into a one-party, socialist state under Communist Party rule, the first in the Western Hemisphere. Policies introducing central economic planning and expanding healthcare and education were accompanied by state control of the press and the suppression of internal dissent. Abroad, Castro supported anti-imperialist revolutionary groups, backing the establishment of Marxist governments in Chile, Nicaragua, and Grenada, as well as sending troops to aid allies in the Yom Kippur, Ogaden, and Angolan Civil War. These actions, coupled with Castro's leadership of the Non-Aligned Movement from 1979 to 1983 and Cuban medical internationalism, increased Cuba's profile on the world stage. Following the dissolution of the Soviet Union in 1991, Castro led Cuba through the economic downturn of the ""Special Period"", embracing environmentalist and anti-globalization ideas. In the 2000s, Castro forged alliances in the Latin American ""pink tide""—namely with Hugo Chávez's Venezuela—and formed the Bolivarian Alliance for the Americas. In 2006, Castro transferred his responsibilities to Vice President Raúl Castro, who was elected to the presidency by the National Assembly in 2008.

The longest-serving non-royal head of state in the 20th and 21st centuries, Castro polarized world opinion. His supporters view him as a champion of socialism and anti-imperialism whose revolutionary government advanced economic and social justice while securing Cuba's independence from American hegemony. His critics view him as a dictator whose administration oversaw human rights abuses, the exodus of many Cubans, and the impoverishment of the country's economy.","Fidel Alejandro Castro Ruz (/ˈkæstroʊ/ KASS-troh,[1] Latin American Spanish: [fiˈðel aleˈxandɾo ˈkastɾo ˈrus]; 13 August 1926 – 25 November 2016) was a Cuban revolutionary and politician who was the leader of Cuba from 1959 to 2008, serving as the prime minister of Cuba from 1959 to 1976 and president from 1976 to 2008."
Leo Tolstoy,"Count Lev Nikolayevich Tolstoy[note 1] (/ˈtoʊlstɔɪ, ˈtɒl-/;[1] Russian: Лев Николаевич Толстой,[note 2] IPA: [ˈlʲef nʲɪkɐˈla(j)ɪvʲɪtɕ tɐlˈstoj] ⓘ; 9 September [O.S. 28 August] 1828 – 20 November [O.S. 7 November] 1910), usually referred to in English as Leo Tolstoy, was a Russian writer regarded as one of the greatest authors of all time.[2] He received nominations for the Nobel Prize in Literature every year from 1902 to 1906 and for the Nobel Peace Prize in 1901, 1902, and 1909.

Born to an aristocratic Russian family in 1828,[2] Tolstoy's notable works include the novels War and Peace (1869) and Anna Karenina (1878),[3] often cited as pinnacles of realist fiction.[2] He first achieved literary acclaim in his twenties with his semi-autobiographical trilogy, Childhood, Boyhood, and Youth (1852–1856), and Sevastopol Sketches (1855), based upon his experiences in the Crimean War. His fiction includes dozens of short stories such as ""After the Ball"" (1911), and several novellas such as The Death of Ivan Ilyich (1886), Family Happiness (1859) and Hadji Murad (1912). He also wrote plays and essays concerning philosophical, moral and religious themes.

In the 1870s, Tolstoy experienced a profound moral crisis, followed by what he regarded as an equally profound spiritual awakening, as outlined in his non-fiction work Confession (1882). His literal interpretation of the ethical teachings of Jesus, centering on the Sermon on the Mount, caused him to become a fervent Christian anarchist and pacifist.[2] His ideas on nonviolent resistance, expressed in such works as The Kingdom of God Is Within You (1894), had a profound impact on such pivotal 20th-century figures as Mahatma Gandhi,[4] Martin Luther King Jr.[5] and Ludwig Wittgenstein.[6] He also became a dedicated advocate of Georgism, the economic philosophy of Henry George, which he incorporated into his writing, particularly in his novel Resurrection (1899).","Count Lev Nikolayevich Tolstoy[note 1] (/ˈtoʊlstɔɪ, ˈtɒl-/;[1] Russian: Лев Николаевич Толстой,[note 2] IPA: [ˈlʲef nʲɪkɐˈla(j)ɪvʲɪtɕ tɐlˈstoj] ⓘ; 9 September [O."
Greta Thunberg,"Greta Tintin Eleonora Ernman Thunberg (Swedish pronunciation: [ˈɡrêːta ˈtʉ̂ːnbærj] ⓘ; born 3 January 2003) is a Swedish environmental activist known for challenging world leaders to take immediate action for climate change mitigation.[1]

Thunberg's climate activism began when she persuaded her parents to adopt lifestyle choices that reduced her family's carbon footprint. At age 15, Thunberg began skipping school on 20 August 2018, vowing to remain out of school until after the national Swedish election in an attempt to influence the outcome. She protested outside the Swedish parliament where she called for stronger action on climate change by holding up a Skolstrejk för klimatet (School Strike for Climate) sign and handing out informational flyers.[2] After the election, Thunberg spoke in front of her supporters, telling them to use their phones to film her. She then said that she would continuing school striking for the climate every Friday until Sweden was in compliance with the 2015 Paris climate agreement.[3] Thunberg's youth and blunt speaking manner fueled her rise to the status of a global icon.[4]

Shortly after Thunberg's first school strike for the climate protest, other students engaged in similar protests in their communities. They then united and organized the school strike for climate movement under the banner of Fridays for Future. After Thunberg addressed the 2018 United Nations Climate Change Conference, weekly student climate strike protests took place on Fridays around the world. In 2019, multiple coordinated multi-city protests involved over a million students each.[5] To avoid carbon-intensive flying, Thunberg sailed on a carbon-free yacht from Plymouth, England, to New York City where she attended and addressed the 2019 UN Climate Action Summit.[6] In her speech, Thunberg scolded the world's leaders by exclaiming ""How dare you"" in reference to their perceived indifference and inaction to the climate crisis. Her admonishment made worldwide headlines.[7][8][9]

Thunberg's rise to world fame made her a leader in the climate activist community.[10] She also faced heavy criticism, much of it mocking her as a naïve teenager.[11] Thunberg's influence on the world stage has been described by The Guardian and other media outlets as the ""Greta effect"".[12] She has received numerous honours and awards, including an honorary Fellowship of the Royal Scottish Geographical Society, inclusion in Time's 100 most influential people, being the youngest Time Person of the Year, inclusion in the Forbes list of The World's 100 Most Powerful Women (2019),[13] and multiple nominations for the Nobel Peace Prize.[14][15][16]

After Thunberg graduated from high school in June 2023, her protest tactics began to escalate.[17] Her adult protests have include defying lawful orders to disperse—and peaceful but defiant confrontations with police—which have led to arrests and convictions.[18]",Greta Tintin Eleonora Ernman Thunberg (Swedish pronunciation: [ˈɡrêːta ˈtʉ̂ːnbærj] ⓘ; born 3 January 2003) is a Swedish environmental activist known for challenging world leaders to take immediate action for climate change mitigation.
Pablo Picasso,"Pablo Ruiz Picasso[a][b] (25 October 1881 – 8 April 1973) was a Spanish painter, sculptor, printmaker, ceramicist, and theatre designer who spent most of his adult life in France. One of the most influential artists of the 20th century, he is known for co-founding the Cubist movement, the invention of constructed sculpture,[8][9] the co-invention of collage, and for the wide variety of styles that he helped develop and explore. Among his most famous works are the proto-Cubist Les Demoiselles d'Avignon (1907) and the anti-war painting Guernica (1937), a dramatic portrayal of the bombing of Guernica by German and Italian air forces during the Spanish Civil War.

Picasso demonstrated extraordinary artistic talent in his early years, painting in a naturalistic manner through his childhood and adolescence. During the first decade of the 20th century, his style changed as he experimented with different theories, techniques, and ideas. After 1906, the Fauvist work of the older artist Henri Matisse motivated Picasso to explore more radical styles, beginning a fruitful rivalry between the two artists, who subsequently were often paired by critics as the leaders of modern art.[10][11][12][13]

Picasso's output, especially in his early career, is often periodized. While the names of many of his later periods are debated, the most commonly accepted periods in his work are the Blue Period (1901–1904), the Rose Period (1904–1906), the African-influenced Period (1907–1909), Analytic Cubism (1909–1912), and Synthetic Cubism (1912–1919), also referred to as the Crystal period. Much of Picasso's work of the late 1910s and early 1920s is in a neoclassical style, and his work in the mid-1920s often has characteristics of Surrealism. His later work often combines elements of his earlier styles.

Exceptionally prolific throughout the course of his long life, Picasso achieved universal renown and immense fortune for his revolutionary artistic accomplishments, and became one of the best-known figures in 20th-century art.

","Pablo Ruiz Picasso[a][b] (25 October 1881 – 8 April 1973) was a Spanish painter, sculptor, printmaker, ceramicist, and theatre designer who spent most of his adult life in France."
Oscar Wilde,"Oscar Fingal O'Fflahertie Wills Wilde[a] (16 October 1854 – 30 November 1900) was an Irish poet and playwright. After writing in different forms throughout the 1880s, he became one of the most popular playwrights in London in the early 1890s. He is best remembered for his epigrams and plays, his novel The Picture of Dorian Gray, and his criminal conviction for gross indecency for homosexual acts.

Wilde's parents were Anglo-Irish intellectuals in Dublin. In his youth Wilde learned to speak fluent French and German. At university, he read Greats; he demonstrated himself to be an exceptional classicist, first at Trinity College Dublin, then at Magdalen College, Oxford. He became associated with the emerging philosophy of aestheticism, led by two of his tutors, Walter Pater and John Ruskin. After university, Wilde moved to London into fashionable cultural and social circles.

He tried his hand at various literary activities: he wrote a play, published a book of poems, lectured in the United States and Canada on the new ""English Renaissance in Art"" and interior decoration, and then returned to London where he lectured on his American travels and wrote reviews for various periodicals. Known for his biting wit, flamboyant dress and glittering conversational skill, Wilde became one of the best-known personalities of his day. At the turn of the 1890s he refined his ideas about the supremacy of art in a series of dialogues and essays, and incorporated themes of decadence, duplicity, and beauty into what would be his only novel, The Picture of Dorian Gray (1890). Wilde returned to the drama, writing Salome (1891) in French while in Paris, but it was refused a licence for England due to an absolute prohibition on the portrayal of Biblical subjects on the English stage. Undiscouraged, Wilde produced four society comedies in the early 1890s, which made him one of the most successful playwrights of late-Victorian London.

At the height of his fame and success, while The Importance of Being Earnest (1895) was still being performed in London, Wilde prosecuted the Marquess of Queensberry for criminal libel.[3] The Marquess was the father of Wilde's lover, Lord Alfred Douglas. The libel trial unearthed evidence that caused Wilde to drop his charges and led to his own arrest and trial for gross indecency with men.[4] After two more trials he was convicted and sentenced to two years' hard labour, the maximum penalty, and was jailed from 1895 to 1897.[5] During his last year in prison he wrote De Profundis (published posthumously in 1905), a long letter that discusses his spiritual journey through his trials, forming a dark counterpoint to his earlier philosophy of pleasure. On his release, he left immediately for France, and never returned to Ireland or Britain. There he wrote his last work, The Ballad of Reading Gaol (1898), a long poem commemorating the harsh rhythms of prison life.",Oscar Fingal O'Fflahertie Wills Wilde[a] (16 October 1854 – 30 November 1900) was an Irish poet and playwright.
